# Simulation 1 (Up to date)
# 6434 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (42.8 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,47.445,0,47.445,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,30781,9417.3,20.352,0.042644,NaN,189.55,NaN,0.0065666,456973,1761.8,0,0.68508,0,0.55616,0.0089126,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.561,87.604,90,0,NaN,15,1013.2,340.39,0.01,0.0050514
0.01,0.0023722,0.47445,161.35,0.47445,161.35,0,0,0,0,0,0,28.61,-80.6,9.7922,78.016,0,0,0,30781,9417.3,20.352,0.042644,NaN,189.55,NaN,0.0067129,467154,5267.9,3.8569e-4,0.68245,0.013767,0.55354,0.0089127,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0746e-5,10.561,87.604,90,0,NaN,15,1013.2,340.39,0.01,0.0062859
0.02,0.015187,2.0887,207.99,2.0887,207.99,0,0,0,0,0,0,28.61,-80.6,9.7922,46.941,0,0,0,30765,9401,20.347,0.042624,NaN,189.53,NaN,0.0089874,625433,6700,0.019404,0.64936,0.38641,0.52044,0.0089132,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6742e-4,10.561,87.604,90,0,NaN,15,1013.2,340.39,0.01,0.0070078
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.046479,4.17,208.43,4.17,208.43,0,0,0,0,0,0,28.61,-80.6,9.7922,28.192,0,0,0,30741,9376.9,20.338,0.042595,NaN,189.49,NaN,0.0139,967271,6708.4,0.083736,0.60519,0.69716,0.47625,0.0089147,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.339e-4,10.561,87.604,90,0,NaN,15,1013.2,340.39,0.01,0.0079071
0.04,0.098607,6.2561,208.92,6.2561,208.92,0,0,0,0,0,0,28.61,-80.6,9.7922,19.661,0,0,0,30710,9345.9,20.327,0.042558,NaN,189.44,NaN,0.019517,1358193,6716.7,0.17555,0.57459,0.7413,0.44563,0.0089172,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.01e-4,10.561,87.604,90,0,NaN,14.999,1013.2,340.39,0.01,0.0088262
0.05,0.17162,8.3471,208.79,8.3471,208.79,0,0,0,0,0,0,28.61,-80.6,9.7922,14.991,0,0,0,30679,9314.9,20.315,0.042521,NaN,189.39,NaN,0.025386,1766618,6706.2,0.28541,0.55289,0.71236,0.42389,0.0089207,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010687,10.561,87.604,90,0,NaN,14.999,1013.2,340.39,0.01,0.01146
0.06,0.26554,10.437,208.24,10.437,208.24,0,0,0,0,0,0,28.61,-80.6,9.7922,12.088,0,0,0,30648,9284,20.304,0.042484,NaN,189.35,NaN,0.031357,2182092,6682.7,0.40652,0.5366,0.66503,0.40755,0.0089253,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013363,10.561,87.604,90,0,NaN,14.998,1013.2,340.39,0.01,0.012786
0.07,0.38033,12.521,207.69,12.521,207.69,0,0,0,0,0,0,28.61,-80.6,9.7922,10.122,0,0,0,30617,9253.2,20.293,0.042447,NaN,189.3,NaN,0.037366,2600251,6659.2,0.54266,0.5243,0.62518,0.39519,0.0089308,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016031,10.561,87.604,90,0,NaN,14.998,1013.2,340.39,0.01,0.013882
0.08,0.51593,14.6,207.13,14.6,207.13,0,0,0,0,0,0,28.61,-80.6,9.7922,8.7043,0,0,0,30586,9222.4,20.282,0.04241,NaN,189.25,NaN,0.043391,3019494,6635.7,0.69794,0.51608,0.59629,0.3869,0.0089373,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018693,10.561,87.604,90,0,NaN,14.997,1013.2,340.39,0.01,0.014938
